Sample,Sample location,Sample Date,Surface Chla all,Surface Phaeo all,Bottom Chla all,Bottom Phaeo all,surface chla <20 um,Surface Phaeo <20 um,Bottom Chla <20 um,Bottom Phaeo <20 um,,Sample Date,surface chla all,Surface Phaeo all,Bottom Chla all,Bottom Phaeo all,surface chla <20 um,Surface Phaeo <20 um,Bottom Chla <20 um,Bottom Phaeo <20 um,,,,,,,,,,,,,,,,,
,,,(_g L-1),(_g L-1),(_g L-1),(_g L-1),(_g L-1),(_g L-1),(_g L-1),(_g L-1),,,(_g L-1),(_g L-1),(_g L-1),(_g L-1),(_g L-1),(_g L-1),(_g L-1),(_g L-1),,,,,,,,,,,,,,,,,
,,Frozen Storage,,,,,,,,,Adjusted Values to Approximate Immediate Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,
012599,N. Bay sta. 2,25-Jan-99,1.69,0.80,1.73,1.15,,,,,,25-Jan-99,3.72,0.80,3.26,1.15,,,,,,,,,,,,,,,,,,,,,
020199,N. Bay sta. 2,01-Feb-99,1.32,0.74,1.41,0.83,,,,,,01-Feb-99,2.90,0.74,2.66,0.83,,,,,,,,,,,,,,,,,,,,,
020899,N. Bay sta. 2,08-Feb-99,1.00,0.94,1.72,1.98,,,,,,08-Feb-99,2.20,0.94,3.24,1.98,,,,,,,,,,,,,,,,,,,,,
021599,N. Bay sta. 2,15-Feb-99,0.61,1.20,0.78,0.60,,,,,,15-Feb-99,1.34,1.20,1.47,0.60,,,,,,,,,,,,,,,,,,,,,
022299,N. Bay sta. 2,22-Feb-99,5.72,5.33,4.80,4.97,,,,,,22-Feb-99,12.56,5.33,9.04,4.97,,,,,,,,,,,,,,,,,,,,,
030199,N. Bay sta. 2,01-Mar-99,1.04,1.59,1.42,1.51,,,,,,01-Mar-99,2.27,1.59,2.67,1.51,,,,,,,,,,,,,,,,,,,,,
031099,N. Bay sta. 2,10-Mar-99,1.26,1.37,1.38,1.38,,,,,,10-Mar-99,2.75,1.37,2.59,1.38,,,,,,,,,,,,,,,,,,,,,
031699,GSO Dock,16-Mar-99,1.43,1.69,,,,,,,,16-Mar-99,3.15,1.69,,,,,,,,,,,,,,,,,,,,,,,
032499,N. Bay sta. 2,24-Mar-99,3.56,1.65,1.43,2.56,,,,,,24-Mar-99,7.82,1.65,2.70,2.56,,,,,,,,,,,,,,,,,,,,,
032999,N. Bay sta. 2,29-Mar-99,2.19,1.35,1.47,1.17,,,,,,29-Mar-99,4.81,1.35,2.77,1.17,,,,,,,,,,,,,,,,,,,,,
040599,N. Bay sta. 2,05-Apr-99,6.99,1.49,23.94,7.22,,,,,,05-Apr-99,15.35,1.49,45.07,7.22,,,,,,,,,,,,,,,,,,,,,
041299,N. Bay sta. 2,12-Apr-99,3.98,1.46,7.46,3.25,,,,,,12-Apr-99,8.74,1.46,14.04,3.25,,,,,,,,,,,,,,,,,,,,,
041999,N. Bay sta. 2,19-Apr-99,1.00,0.96,2.23,1.81,,,,,,19-Apr-99,2.19,0.96,4.20,1.81,,,,,,,,,,,,,,,,,,,,,
042699,N. Bay sta. 2,26-Apr-99,1.71,1.24,6.64,2.27,,,,,,26-Apr-99,3.75,1.24,12.50,2.27,,,,,,,,,,,,,,,,,,,,,
050399,N. Bay sta. 2,03-May-99,0.56,0.69,1.46,1.02,,,,,,03-May-99,1.24,0.69,2.75,1.02,,,,,,,,,,,,,,,,,,,,,
051099,N. Bay sta. 2,10-May-99,1.19,1.31,1.65,1.30,,,,,,10-May-99,2.62,1.31,3.11,1.30,,,,,,,,,,,,,,,,,,,,,
051799,N. Bay sta. 2,17-May-99,1.92,2.15,2.38,2.93,,,,,,17-May-99,4.21,2.15,4.48,2.93,,,,,,,,,,,,,,,,,,,,,
052699,N. Bay sta. 2,26-May-99,2.02,1.40,2.87,1.94,,,,,,26-May-99,4.42,1.40,5.41,1.94,,,,,,,,,,,,,,,,,,,,,
053199,N. Bay sta. 2,31-May-99,1.21,0.62,2.17,1.63,,,,,,31-May-99,2.66,0.62,4.09,1.63,,,,,,,,,,,,,,,,,,,,,
060799,N. Bay sta. 2,07-Jun-99,2.25,1.75,2.85,2.12,,,,,,07-Jun-99,4.93,1.75,5.37,2.12,,,,,,,,,,,,,,,,,,,,,
061499,N. Bay sta. 2,14-Jun-99,2.42,2.00,2.77,2.07,,,,,,14-Jun-99,5.32,2.00,5.21,2.07,,,,,,,,,,,,,,,,,,,,,
062199,N. Bay sta. 2,21-Jun-99,2.75,1.91,2.83,2.09,,,,,,21-Jun-99,6.03,1.91,5.33,2.09,,,,,,,,,,,,,,,,,,,,,
062899,N. Bay sta. 2,28-Jun-99,2.53,2.94,4.00,3.88,2.07,2.77,1.83,2.40,,28-Jun-99,5.56,2.94,7.54,3.88,3.28,3.20,2.08,2.40,,,,,,,,,,,,,,,,,
070599,N. Bay sta. 2,05-Jul-99,5.13,2.32,4.82,2.31,4.56,2.56,3.38,2.54,,05-Jul-99,11.26,2.32,9.08,2.31,7.24,2.97,3.83,2.54,,,,,,,,,,,,,,,,,
071299,N. Bay sta. 2,12-Jul-99,1.96,2.45,1.78,2.61,2.00,2.42,1.57,2.32,,12-Jul-99,4.29,2.45,3.36,2.61,3.17,2.80,1.78,2.32,,,,,,,,,,,,,,,,,
071999,N. Bay sta. 2,19-Jul-99,2.30,2.71,2.69,3.55,2.15,2.53,2.67,2.90,,19-Jul-99,5.04,2.71,5.07,3.55,3.42,2.92,3.03,2.90,,,,,,,,,,,,,,,,,
080999,N. Bay sta. 2,09-Aug-99,6.72,5.17,6.91,5.37,2.93,3.08,3.74,2.98,,09-Aug-99,14.76,5.17,13.00,5.37,4.66,3.57,4.24,2.98,,,,,,,,,,,,,,,,,
081999,N. Bay sta. 2,19-Aug-99,19.21,50.20,7.53,6.67,20.62,50.65,6.33,5.89,,19-Aug-99,42.15,50.20,14.18,6.67,32.77,58.61,7.17,5.89,,,,,,,,,,,,,,,,,
082399,N. Bay sta. 2,23-Aug-99,7.78,16.67,1.49,7.46,6.82,13.24,1.21,7.29,,23-Aug-99,17.08,16.67,2.80,7.46,10.84,15.31,1.37,7.29,,,,,,,,,,,,,,,,,
090299,GSO Dock,02-Sep-99,1.33,2.20,,,1.24,1.98,,,,02-Sep-99,2.93,2.20,,,1.97,2.29,,,,,,,,,,,,,,,,,,,
091099,GSO Dock,10-Sep-99,1.76,2.85,,,2.74,3.37,,,,10-Sep-99,3.86,2.85,,,4.35,3.90,,,,,,,,,,,,,,,,,,,
091599,N. Bay sta. 2,15-Sep-99,5.55,6.45,2.15,5.00,5.06,5.81,2.95,4.08,,15-Sep-99,12.19,6.45,4.05,5.00,8.05,6.72,3.34,4.08,,,,,,,,,,,,,,,,,
092099,N. Bay sta. 2,20-Sep-99,9.31,3.93,3.59,2.82,4.98,3.26,1.00,2.02,,20-Sep-99,20.43,3.93,6.76,2.82,7.92,3.77,1.13,2.02,,,,,,,,,,,,,,,,,
092799,N. Bay sta. 2,27-Sep-99,8.34,4.11,6.81,4.43,2.42,2.86,2.97,3.18,,27-Sep-99,18.30,4.11,12.83,4.43,3.84,3.31,3.37,3.18,,,,,,,,,,,,,,,,,
100699,N. Bay sta. 2,06-Oct-99,1.99,3.02,1.25,2.68,1.75,3.15,0.98,2.26,,06-Oct-99,4.37,3.02,2.35,2.68,2.78,3.64,1.11,2.26,,,,,,,,,,,,,,,,,
101199,N. Bay sta. 2,11-Oct-99,1.70,1.46,0.90,1.28,1.00,1.23,0.53,1.06,,11-Oct-99,3.74,1.46,1.70,1.28,1.59,1.42,0.60,1.06,,,,,,,,,,,,,,,,,
101899,N. Bay sta. 2,18-Oct-99,5.10,1.12,4.17,1.07,1.10,0.83,1.40,1.04,,18-Oct-99,11.20,1.12,7.85,1.07,1.75,0.96,1.59,1.04,,,,,,,,,,,,,,,,,
102599,N. Bay sta. 2,25-Oct-99,8.39,0.74,2.22,0.73,1.10,0.68,0.86,0.70,,25-Oct-99,18.42,0.74,4.17,0.73,1.75,0.79,0.97,0.70,,,,,,,,,,,,,,,,,
110199,N. Bay sta. 2,01-Nov-99,0.60,0.79,0.65,0.73,0.53,0.68,0.51,0.67,,01-Nov-99,1.32,0.79,1.23,0.73,0.85,0.79,0.58,0.67,,,,,,,,,,,,,,,,,
110899,N. Bay sta. 2,08-Nov-99,3.98,2.69,1.77,0.97,0.92,0.72,0.76,0.93,,08-Nov-99,8.73,2.69,3.34,0.97,1.46,0.84,0.86,0.93,,,,,,,,,,,,,,,,,
111599,N. Bay sta. 2,15-Nov-99,2.96,0.45,1.84,1.59,1.76,1.02,0.95,1.08,,15-Nov-99,6.49,0.45,3.46,1.59,2.80,1.19,1.07,1.08,,,,,,,,,,,,,,,,,
112299,N. Bay sta. 2,22-Nov-99,3.98,1.91,2.00,1.23,1.40,0.76,0.54,0.82,,22-Nov-99,8.74,1.91,3.77,1.23,2.22,0.88,0.61,0.82,,,,,,,,,,,,,,,,,
120199,N. Bay sta. 2,01-Dec-99,2.31,1.45,1.80,1.47,1.12,1.09,1.35,1.23,,01-Dec-99,5.08,1.45,3.38,1.47,1.79,1.26,1.53,1.23,,,,,,,,,,,,,,,,,
120699,N. Bay sta. 2,06-Dec-99,2.46,1.13,2.44,0.88,1.69,0.99,1.49,1.03,,06-Dec-99,5.41,1.13,4.60,0.88,2.69,1.15,1.69,1.03,,,,,,,,,,,,,,,,,
121399,N. Bay sta. 2,13-Dec-99,2.02,1.12,3.24,1.54,1.58,0.78,1.31,0.94,,13-Dec-99,4.43,1.12,6.10,1.54,2.51,0.91,1.49,0.94,,,,,,,,,,,,,,,,,
122299,N. Bay sta. 2,22-Dec-99,3.62,1.57,3.24,1.43,3.20,1.28,1.84,0.94,,22-Dec-99,7.95,1.57,6.09,1.43,5.09,1.48,2.09,0.94,,,,,,,,,,,,,,,,,
122799,N. Bay sta. 2,27-Dec-99,5.84,1.15,4.81,1.20,4.70,0.85,3.42,1.13,,27-Dec-99,12.81,1.15,9.06,1.20,7.47,0.98,3.88,1.13,,,,,,,,,,,,,,,,,
010300,N. Bay sta. 2,03-Jan-00,4.76,1.37,5.15,1.44,2.91,0.98,2.55,1.16,,03-Jan-00,10.45,1.37,9.70,1.44,4.63,1.13,2.89,1.16,,,,,,,,,,,,,,,,,
011000,N. Bay sta. 2,10-Jan-00,5.74,2.40,5.16,1.98,2.93,0.66,2.23,0.79,,10-Jan-00,12.59,2.40,9.72,1.98,4.66,0.77,2.53,0.79,,,,,,,,,,,,,,,,,
011900,N. Bay sta. 2,19-Jan-00,4.35,1.90,3.15,1.46,2.72,1.07,1.96,1.09,,19-Jan-00,9.55,1.90,5.94,1.46,4.32,1.23,2.23,1.09,,,,,,,,,,,,,,,,,
012800,GSO Dock,28-Jan-00,2.91,1.93,,,1.57,1.52,,,,28-Jan-00,6.38,1.93,,,2.50,1.76,,,,,,,,,,,,,,,,,,,
020200,N. Bay sta. 2,02-Feb-00,4.84,1.69,4.12,1.31,2.84,0.89,2.43,1.01,,02-Feb-00,10.62,1.69,7.75,1.31,4.52,1.03,2.76,1.01,,,,,,,,,,,,,,,,,
020700,N. Bay sta. 2,07-Feb-00,4.22,1.39,4.05,1.59,2.01,1.07,1.49,0.92,,07-Feb-00,9.25,1.39,7.63,1.59,3.19,1.24,1.69,0.92,,,,,,,,,,,,,,,,,
021600,N. Bay sta. 2,16-Feb-00,5.37,2.13,4.57,1.49,2.27,0.97,1.55,0.95,,16-Feb-00,11.78,2.13,8.61,1.49,3.61,1.13,1.75,0.95,,,,,,,,,,,,,,,,,
022100,N. Bay sta. 2,21-Feb-00,6.55,1.53,6.40,2.25,2.01,1.07,2.04,1.31,,21-Feb-00,14.37,1.53,12.05,2.25,3.19,1.24,2.31,1.31,,,,,,,,,,,,,,,,,
022800,N. Bay sta. 2,28-Feb-00,5.72,2.04,5.46,2.14,2.02,1.18,1.63,1.49,,28-Feb-00,12.56,2.04,10.29,2.14,3.21,1.37,1.85,1.49,,,,,,,,,,,,,,,,,
030600,N. Bay sta. 2,06-Mar-00,5.15,1.35,4.23,1.51,0.98,0.94,1.30,1.30,,06-Mar-00,11.30,1.35,7.97,1.51,1.56,1.09,1.48,1.30,,,,,,,,,,,,,,,,,
