Narragansett Bay  Station 2 Nutrient Samples,,,,,Some samples from dock at GSO and labeled accordingly,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SURFACE,,,,,,,,,,DEEP (BOTTOM),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,NH4,DIP,NO3+2,NO3,NO2,DIN,,,,NH4,DIP,NO3+2,NO3,NO2,DIN,,,,,,,
Date,Depth,uM,uM,uM,uM,uM,uM,,Date,Depth,uM,uM,uM,uM,uM,uM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
05/05/03,S,1.178,0.171,2.310,2.091,0.219,3.488,,05/05/03,D,0.679,0.269,0.329,0.280,0.049,1.008,,,,,,,
05/21/03,S,0.241,0.094,0.109,0.047,0.062,0.350,,05/21/03,D,0.510,0.241,0.146,0.105,0.041,0.656,,,,,,,
05/28/03,S,3.852,0.441,2.269,2.076,0.194,6.121,,05/28/03,D,3.945,0.561,1.370,1.216,0.154,5.315,,,,,,,
06/04/03,S,0.546,0.262,1.382,1.123,0.259,1.928,,06/04/03,D,4.200,0.691,2.229,1.953,0.275,6.429,,,,,,,
06/09/03,S,0.752,0.240,2.295,1.934,0.362,3.048,,06/09/03,D,2.711,0.542,0.944,0.781,0.163,3.654,,,,,,,
06/16/03,S,1.079,0.409,1.320,1.120,0.200,2.399,,,,,,,,,,,,,,,,
06/23/03,S,3.925,0.588,2.414,2.046,0.367,6.338,,06/23/03,D,4.475,0.704,1.492,1.247,0.245,5.967,,,,,,,
06/30/03,S,0.614,0.041,0.197,0.160,0.037,0.811,,06/30/03,D,4.939,0.877,1.354,1.087,0.267,6.293,,,,,,,
07/09/03,S,0.677,0.411,0.274,0.241,0.033,0.952,,07/09/03,D,3.881,1.047,0.642,0.542,0.100,4.523,,,,,,,
07/14/03,S,1.168,0.176,0.279,0.242,0.037,1.447,,07/14/03,D,3.207,0.892,0.530,0.431,0.100,3.737,,,,,,,
07/21/03,S,0.193,0.468,0.125,0.120,0.005,0.319,,07/21/03,D,0.769,0.756,0.071,0.017,0.054,0.840,,,,,,,
07/28/03,S,0.084,0.549,0.071,0.060,0.012,0.156,,07/28/03,D,2.235,0.907,0.434,0.378,0.056,2.669,,,,,,,
08/04/03,S,0.319,0.708,0.080,0.051,0.029,0.399,,08/04/03,D,0.933,1.162,0.090,0.008,0.082,1.023,,,,,,,
08/13/03,S,1.077,1.562,0.041,0.008,0.033,1.118,,08/13/03,D,1.114,1.400,0.259,0.206,0.054,1.374,,,,,,,
08/20/03,S,0.626,1.543,0.099,0.043,0.056,0.726,,08/20/03,D,1.917,2.006,0.306,0.223,0.083,2.223,,,,,,,
08/27/03,S,4.010,1.540,0.680,0.530,0.150,4.690,,,,,,,,,,,,,,,,
09/03/03,S,5.086,1.374,0.561,0.432,0.129,5.648,,09/03/03,D,4.955,1.786,0.535,0.423,0.112,5.490,,,,,,,
09/10/03,S,0.463,0.814,0.156,0.111,0.045,0.619,,09/10/03,D,0.979,1.030,0.176,0.079,0.097,1.155,,,,,,,
09/17/03,S,0.761,0.703,0.079,0.009,0.071,0.840,,09/17/03,D,1.021,0.763,0.191,0.106,0.085,1.212,,,,,,,
09/24/03,S,4.103,0.927,0.981,0.725,0.256,5.085,,09/24/03,D,4.959,1.058,1.294,0.957,0.337,6.252,,,,,,,
09/29/03,S,7.705,1.212,2.360,1.838,0.522,10.065,,09/29/03,D,7.356,1.228,1.980,1.461,0.519,9.335,,,,,,,
10/08/03,S,8.025,1.437,3.670,2.822,0.848,11.695,,10/08/03,D,7.929,1.463,3.423,2.607,0.815,11.352,,,,,,,
10/15/03,S,11.987,1.825,7.930,6.459,1.471,19.917,,10/15/03,D,11.974,1.759,7.709,6.295,1.414,19.683,,,,,,,
10/22/03,S,10.315,1.755,8.749,7.464,1.285,19.064,,10/22/03,D,10.571,1.770,8.798,7.552,1.246,19.369,,,,,,,
10/29/03,S,10.492,1.707,10.116,8.783,1.333,20.608,,10/29/03,D,10.646,1.738,9.804,8.467,1.337,20.450,,,,,,,
11/03/03,S,13.015,1.767,15.309,13.356,1.953,28.324,,11/03/03,D,9.664,1.797,10.085,8.889,1.195,19.748,,,,,,,
11/10/03,S,8.340,1.527,10.698,9.433,1.265,19.038,,11/10/03,D,8.195,1.529,10.186,8.996,1.190,18.381,,,,,,,
11/14/03,S,6.641,1.348,12.261,11.027,1.234,18.901,,,,,,,,,,,,,,,,
11/17/03,S,8.833,1.538,12.915,11.489,1.427,21.748,,11/17/03,D,5.839,1.260,8.589,7.503,1.086,14.428,,,,,,,
11/24/03,S,6.230,1.310,11.980,10.750,1.230,18.210,,11/24/03,D,5.723,1.277,11.446,10.327,1.119,17.169,,,,,,,
12/01/03,S,5.153,1.274,12.539,11.500,1.039,17.692,,12/01/03,D,4.820,1.276,12.056,11.096,0.960,16.876,,,,,,,
12/09/03,S,5.431,1.191,14.469,13.538,0.932,19.900,,12/09/03,D,4.604,1.147,12.944,12.104,0.841,17.549,,,,,,,
12/15/03,S,6.739,1.373,16.416,15.650,0.766,23.156,,12/15/03,D,5.465,1.295,14.749,14.034,0.714,20.214,,,,,,,
12/30/03,S,3.360,0.934,14.714,14.333,0.381,18.074,,12/30/03,D,3.726,1.021,13.410,13.142,0.267,17.136,,,,,,,
01/05/04,S,1.840,0.620,15.570,15.190,0.380,17.410,,01/05/04,D,2.470,0.840,11.850,11.640,0.210,14.320,,,,,,,
01/14/04,S,0.120,0.150,0.740,0.650,0.090,0.860,,01/14/04,D,0.110,0.150,0.990,0.910,0.080,1.100,,,,,,,
01/21/04,S,0.020,0.080,0.050,0.020,0.030,0.070,,01/21/04,D,0.150,0.080,0.150,0.140,0.010,0.300,,,,,,,
01/29/04,S,0.070,0.120,0.100,0.100,0.000,0.170,,,,,,,,,,,,,,,,
02/04/04,S,0.626,0.061,0.136,0.115,0.021,0.762,,02/04/04,D,0.570,0.075,0.003,0.000,0.003,0.573,,,,,,,
02/09/04,S,0.375,0.038,0.113,0.108,0.004,0.488,,02/09/04,D,0.315,0.074,0.104,0.052,0.051,0.419,,,,,,,
02/16/04,S,0.455,0.048,0.161,0.120,0.041,0.616,,02/16/04,D,0.373,0.074,0.231,0.200,0.031,0.604,,,,,,,
02/23/04,S,0.366,0.053,0.046,0.015,0.030,0.412,,02/23/04,D,0.390,0.038,0.040,0.009,0.031,0.430,,,,,,,
03/01/04,S,0.973,0.103,0.236,0.182,0.054,1.209,,03/01/04,D,0.777,0.125,0.188,0.144,0.044,0.965,,,,,,,
03/13/04,S,4.811,0.458,4.255,3.985,0.271,9.066,,03/13/04,D,2.004,0.369,1.620,1.526,0.094,3.624,,,,,,,
03/18/04,S,0.658,0.170,0.121,0.118,0.004,0.780,,,,,,,,,0.000,,,,,,,
03/22/04,S,0.291,0.130,0.093,0.097,-0.004,0.384,,03/22/04,D,0.380,0.146,0.013,0.008,0.005,0.393,,,,,,,
03/29/04,S,2.784,0.129,3.703,3.456,0.247,6.486,,03/29/04,D,2.467,0.130,2.909,2.716,0.193,5.376,,,,,,,
04/05/04,S,0.345,0.108,0.263,0.230,0.033,0.607,,,,,,,,,,,,,,,,
04/14/04,S,0.689,0.114,0.098,0.062,0.036,0.787,,,,,,,,,,,,,,,,
04/19/04,S,0.832,0.043,0.061,0.004,0.057,0.893,,04/19/04,D,0.633,0.143,0.070,0.015,0.055,0.703,,,,,,,
04/26/04,S,0.782,0.021,0.099,0.058,0.042,0.882,,04/26/04,D,0.758,0.125,0.121,0.090,0.031,0.879,,,,,,,
05/03/04,S,0.630,0.171,0.049,0.018,0.032,0.679,,05/03/04,D,0.655,0.128,0.032,0.008,0.024,0.688,,,,,,,
05/10/04,S,0.727,0.025,0.145,0.115,0.030,0.872,,05/10/04,D,0.780,0.182,0.300,0.263,0.037,1.080,,,,,,,
05/17/04,S,0.693,0.067,0.280,0.250,0.030,0.974,,05/17/04,D,0.787,0.079,0.123,0.093,0.030,0.910,,,,,,,
